Id,PageType,PageId,UserId,SessionId,TimeSpent,FirstPing,LastPing,ActiveTimeOnPage,IPAdress,ScrollDistance,CountryCode
988,feed,n/a,0924ffb4-00d1-4980-86b3-b62270f97f10,2b2f4e3f-c7c4-47cc-94f7-da515b64b515,0,2020-06-15 10:28:28.8623867,2020-06-15 10:28:28.8623867,0,46.226.205.8,0,IT
989,feed,n/a,0924ffb4-00d1-4980-86b3-b62270f97f10,1e7d2fb0-036b-4b68-86b9-b750ae6ef378,630,2020-06-15 10:28:49.8946323,2020-06-15 10:39:20.7167816,6.693,46.226.205.8,0,IT
990,feed,n/a,0924ffb4-00d1-4980-86b3-b62270f97f10,802258d5-f5ec-43e4-b202-dceef070d7e1,0,2020-06-15 10:29:03.3987113,2020-06-15 10:29:03.3987113,0,46.226.205.8,0,IT
991,feed,n/a,0924ffb4-00d1-4980-86b3-b62270f97f10,b5b076aa-c8d3-46f7-9524-f0b7ec4fc1cb,600,2020-06-15 10:29:17.8867780,2020-06-15 10:39:18.7075049,7.191,46.226.205.8,0,IT
992,feed,n/a,tbd,53a24e30-630c-4a12-b913-8e5241df308e,0,2020-06-15 10:29:39.4814109,2020-06-15 10:29:39.4814109,0,212.200.247.116,0,RS
993,feed,n/a,560895b4-04c6-471a-85f2-527542005c1a,31ad80bb-4916-439f-b672-50ce77b4baf6,0,2020-06-15 10:30:05.0940271,2020-06-15 10:30:05.0940271,0,217.217.59.169,0,ES
994,feed,n/a,560895b4-04c6-471a-85f2-527542005c1a,563fdfa6-5c71-40e0-bfea-558a814edb3d,0,2020-06-15 10:31:39.8565263,2020-06-15 10:31:39.8565263,0,217.217.59.169,0,ES
995,profile,7e676707-17bd-4fc8-b119-b9c29f0675a9,7e676707-17bd-4fc8-b119-b9c29f0675a9,0653ef1c-4b8b-46c3-a638-a60c1ef4a35d,60,2020-06-15 10:35:03.0229105,2020-06-15 10:36:03.6710958,43.37,103.76.55.46,0,--
996,feed,n/a,7e676707-17bd-4fc8-b119-b9c29f0675a9,d7e5ff35-04f6-4cee-a28d-6516ed308945,330,2020-06-15 10:36:10.4811237,2020-06-15 10:41:41.2364437,106.023,103.76.55.46,300,--
997,feed,n/a,tbd,5df00902-3fce-45de-b13a-48f6c625af63,0,2020-06-15 10:36:13.7230755,2020-06-15 10:36:13.7230755,0,49.35.30.100,0,IN
